Ruta,Texto original,Traducción
Map.Event[5].Page[1].list.command[6],____TEXT____,
Map.Event[5].Page[1].list.command[7].textData,С помощью \c[2]Власти над насекомыми\c[0] ты слышишь шепот...,
Map.Event[5].Page[1].list.command[10],____TEXT____,
Map.Event[5].Page[1].list.command[11].textData,"\} ""Повелитель... ты близко... не сдавайся!""",
Map.Event[5].Page[1].list.command[15],____TEXT____,
Map.Event[5].Page[1].list.command[16].textData,"\} ""Повелитель... мы близки... к церемонии!""",
Map.Event[5].Page[1].list.command[20],____TEXT____,
Map.Event[5].Page[1].list.command[21].textData,"\} ""Повелитель... торжество... время пришло!""",
Map.Event[5].Page[1].list.command[24],____TEXT____,
Map.Event[5].Page[1].list.command[25].textData,"\} ""Повелитель... давай пировать кровью... вместе...""",
Map.Event[7].Page[1].list.command[6],____TEXT____,
Map.Event[7].Page[1].list.command[7].textData,С помощью \c[2]Власти над насекомыми\c[0] ты слышишь шепот...,
Map.Event[7].Page[1].list.command[10],____TEXT____,
Map.Event[7].Page[1].list.command[11].textData,"\} ""Повелитель... ты близко... не сдавайся!""",
Map.Event[7].Page[1].list.command[15],____TEXT____,
Map.Event[7].Page[1].list.command[16].textData,"\} ""Повелитель... мы близки... к церемонии!""",
Map.Event[7].Page[1].list.command[20],____TEXT____,
Map.Event[7].Page[1].list.command[21].textData,"\} ""Повелитель... торжество... время пришло!""",
Map.Event[7].Page[1].list.command[24],____TEXT____,
Map.Event[7].Page[1].list.command[25].textData,"\} ""Повелитель... давай пировать кровью... вместе...""",
Map.Event[8].Page[1].list.command[6],____TEXT____,
Map.Event[8].Page[1].list.command[7].textData,С помощью \c[2]Власти над насекомыми\c[0] ты слышишь шепот...,
Map.Event[8].Page[1].list.command[10],____TEXT____,
Map.Event[8].Page[1].list.command[11].textData,"\} ""Повелитель... ты близко... не сдавайся!""",
Map.Event[8].Page[1].list.command[15],____TEXT____,
Map.Event[8].Page[1].list.command[16].textData,"\} ""Повелитель... мы близки... к церемонии!""",
Map.Event[8].Page[1].list.command[20],____TEXT____,
Map.Event[8].Page[1].list.command[21].textData,"\} ""Повелитель... торжество... время пришло!""",
Map.Event[8].Page[1].list.command[24],____TEXT____,
Map.Event[8].Page[1].list.command[25].textData,"\} ""Повелитель... давай пировать кровью... вместе...""",
Map.Event[14].Page[1].list.command[6],____TEXT____,
Map.Event[14].Page[1].list.command[7].textData,С помощью \c[2]Власти над насекомыми\c[0] ты слышишь шепот...,
Map.Event[14].Page[1].list.command[10],____TEXT____,
Map.Event[14].Page[1].list.command[11].textData,"\} ""Повелитель... ты близко... не сдавайся!""",
Map.Event[14].Page[1].list.command[15],____TEXT____,
Map.Event[14].Page[1].list.command[16].textData,"\} ""Повелитель... мы близки... к церемонии!""",
Map.Event[14].Page[1].list.command[20],____TEXT____,
Map.Event[14].Page[1].list.command[21].textData,"\} ""Повелитель... торжество... время пришло!""",
Map.Event[14].Page[1].list.command[24],____TEXT____,
Map.Event[14].Page[1].list.command[25].textData,"\} ""Повелитель... давай пировать кровью... вместе...""",
Map.Event[15].Page[1].list.command[6],____TEXT____,
Map.Event[15].Page[1].list.command[7].textData,С помощью \c[2]Власти над насекомыми\c[0] ты слышишь шепот...,
Map.Event[15].Page[1].list.command[10],____TEXT____,
Map.Event[15].Page[1].list.command[11].textData,"\} ""Повелитель... ты близко... не сдавайся!""",
Map.Event[15].Page[1].list.command[15],____TEXT____,
Map.Event[15].Page[1].list.command[16].textData,"\} ""Повелитель... мы близки... к церемонии!""",
Map.Event[15].Page[1].list.command[20],____TEXT____,
Map.Event[15].Page[1].list.command[21].textData,"\} ""Повелитель... торжество... время пришло!""",
Map.Event[15].Page[1].list.command[24],____TEXT____,
Map.Event[15].Page[1].list.command[25].textData,"\} ""Повелитель... давай пировать кровью... вместе...""",
Map.Event[101].Page[0].list.command[0],____TEXT____,
Map.Event[101].Page[0].list.command[1].textData,"Крепкий сундук. Похоже, он не заперт.",
Map.Event[101].Page[0].list.command[2],___CHOICE___,
Map.Event[101].Page[0].list.command[2].textChoice[0],Открыть,
Map.Event[101].Page[0].list.command[2].textChoice[1],Отойти,
Map.Event[101].Page[0].list.command[5],___CHOICE___,
Map.Event[101].Page[0].list.command[5].textChoice[0],ОРЁЛ,
Map.Event[101].Page[0].list.command[5].textChoice[1],РЕШКА,
Map.Event[101].Page[1].list.command[0],____TEXT____,
Map.Event[101].Page[1].list.command[1].textData,В сундуке ничего не осталось.,
Map.Event[156].Page[1].list.command[0],____TEXT____,
Map.Event[156].Page[1].list.command[1].textData,Девочка мертва...,
Map.Event[156].Page[1].list.command[4],____TEXT____,
Map.Event[156].Page[1].list.command[5].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map.Event[156].Page[1].list.command[6],___CHOICE___,
Map.Event[156].Page[1].list.command[6].textChoice[0],Да,
Map.Event[156].Page[1].list.command[6].textChoice[1],Нет,
Map.Event[156].Page[1].list.command[9],____TEXT____,
Map.Event[156].Page[1].list.command[10].textData,\c[2]Камень душ\c[0] меняет свой облик.,
Map.Event[156].Page[1].list.command[11].textData,Теперь он излучает слабый синий свет.,
Map.Event[156].Page[1].list.command[12],____TEXT____,
Map.Event[156].Page[1].list.command[13].textData,"У камня невероятно тяжелая аура. Настолько, что",
Map.Event[156].Page[1].list.command[14].textData,"на миг кажется, будто ты не сможешь поднять его...",
Map.Event[157].Page[1].list.command[0],____TEXT____,
Map.Event[157].Page[1].list.command[1].textData,Здесь лежит \N[16]...,
Map.Event[157].Page[1].list.command[3],____TEXT____,
Map.Event[157].Page[1].list.command[4].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
