Ruta,Texto original,Traducción
Map.Event[1].Page[0].list.command[0],____TEXT____,
Map.Event[1].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[1].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[1].Page[0].list.command[4],____TEXT____,
Map.Event[1].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[1].Page[0].list.command[6],___CHOICE___,
Map.Event[1].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[1].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[3].Page[0].list.command[0],____TEXT____,
Map.Event[3].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[3].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[3].Page[0].list.command[4],____TEXT____,
Map.Event[3].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[3].Page[0].list.command[6],___CHOICE___,
Map.Event[3].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[3].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[4].Page[0].list.command[0],____TEXT____,
Map.Event[4].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[4].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[4].Page[0].list.command[4],____TEXT____,
Map.Event[4].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[4].Page[0].list.command[6],___CHOICE___,
Map.Event[4].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[4].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[5].Page[0].list.command[0],____TEXT____,
Map.Event[5].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[5].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[5].Page[0].list.command[4],____TEXT____,
Map.Event[5].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[5].Page[0].list.command[6],___CHOICE___,
Map.Event[5].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[5].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[6].Page[0].list.command[0],____TEXT____,
Map.Event[6].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[6].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[6].Page[0].list.command[4],____TEXT____,
Map.Event[6].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[6].Page[0].list.command[6],___CHOICE___,
Map.Event[6].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[6].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[7].Page[0].list.command[0],____TEXT____,
Map.Event[7].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[7].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[7].Page[0].list.command[4],____TEXT____,
Map.Event[7].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[7].Page[0].list.command[6],___CHOICE___,
Map.Event[7].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[7].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[8].Page[0].list.command[0],____TEXT____,
Map.Event[8].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[8].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[8].Page[0].list.command[4],____TEXT____,
Map.Event[8].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[8].Page[0].list.command[6],___CHOICE___,
Map.Event[8].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[8].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[9].Page[0].list.command[0],____TEXT____,
Map.Event[9].Page[0].list.command[1].textData,"Обвалившийся корридор. Интересно, как это место",
Map.Event[9].Page[0].list.command[2].textData,все еще не обрушилось...,
Map.Event[9].Page[0].list.command[4],____TEXT____,
Map.Event[9].Page[0].list.command[5].textData,Ты можешь использовать \c[2]Взрывной флакон\c[0]...,
Map.Event[9].Page[0].list.command[6],___CHOICE___,
Map.Event[9].Page[0].list.command[6].textChoice[0],Использовать \c[2]Взрывной флакон\c[0],
Map.Event[9].Page[0].list.command[6].textChoice[1],Уйти,
Map.Event[10].Page[0].list.command[0],____TEXT____,
Map.Event[10].Page[0].list.command[1].textData,Бочка была обчищена и сейчас пуста.,
Map.Event[11].Page[0].list.command[0],____TEXT____,
Map.Event[11].Page[0].list.command[1].textData,Ящики были обчищены и сейчас пусты.,
Map.Event[12].Page[0].list.command[0],____TEXT____,
Map.Event[12].Page[0].list.command[1].textData,Ящики были обчищены и сейчас пусты.,
Map.Event[13].Page[0].list.command[0],____TEXT____,
Map.Event[13].Page[0].list.command[1].textData,Вагонетка заполнена камнями и щебнем.,
Map.Event[13].Page[0].list.command[2],___CHOICE___,
Map.Event[13].Page[0].list.command[2].textChoice[0],Взять камень,
Map.Event[13].Page[0].list.command[2].textChoice[1],Уйти,
Map.Event[13].Page[0].list.command[5],____TEXT____,
Map.Event[13].Page[0].list.command[6].textData,Ты берешь \c[2]Камень\c[0],
Map.Event[13].Page[1].list.command[0],____TEXT____,
Map.Event[13].Page[1].list.command[1].textData,Брошенная вагонетка...,
Map.Event[14].Page[0].list.command[0],____TEXT____,
Map.Event[14].Page[0].list.command[1].textData,Вагонетка заполнена камнями и щебнем.,
Map.Event[14].Page[0].list.command[2],___CHOICE___,
Map.Event[14].Page[0].list.command[2].textChoice[0],Взять камень,
Map.Event[14].Page[0].list.command[2].textChoice[1],Уйти,
Map.Event[14].Page[0].list.command[5],____TEXT____,
Map.Event[14].Page[0].list.command[6].textData,Ты берешь \c[2]Камень\c[0],
Map.Event[14].Page[1].list.command[0],____TEXT____,
Map.Event[14].Page[1].list.command[1].textData,Брошенная вагонетка...,
Map.Event[15].Page[0].list.command[0],____TEXT____,
Map.Event[15].Page[0].list.command[1].textData,Вагонетка заполнена камнями и щебнем.,
Map.Event[15].Page[0].list.command[2],___CHOICE___,
Map.Event[15].Page[0].list.command[2].textChoice[0],Взять камень,
Map.Event[15].Page[0].list.command[2].textChoice[1],Уйти,
Map.Event[15].Page[0].list.command[5],____TEXT____,
Map.Event[15].Page[0].list.command[6].textData,Ты берешь \c[2]Камень\c[0],
Map.Event[15].Page[1].list.command[0],____TEXT____,
Map.Event[15].Page[1].list.command[1].textData,Брошенная вагонетка...,
Map.Event[18].Page[0].list.command[0],____TEXT____,
Map.Event[18].Page[0].list.command[1].textData,Здесь осталось несколько зелий...,
Map.Event[18].Page[0].list.command[2],____TEXT____,
Map.Event[18].Page[0].list.command[3].textData,Ты находишь \c[2]Взрывной флакон\c[0]!,
Map.Event[18].Page[1].list.command[0],____TEXT____,
Map.Event[18].Page[1].list.command[1].textData,Здесь не осталось ничего интересного.,
Map.Event[20].Page[0].list.command[1],____TEXT____,
Map.Event[20].Page[0].list.command[2].textData,Зажечь свечу \c[2]Огнивом\c[0]?,
Map.Event[20].Page[0].list.command[3],___CHOICE___,
Map.Event[20].Page[0].list.command[3].textChoice[0],Зажечь \c[2]Факел\c[0],
Map.Event[20].Page[0].list.command[3].textChoice[1],Взять \c[2]Факел\c[0],
Map.Event[20].Page[0].list.command[3].textChoice[2],Уйти,
Map.Event[20].Page[0].list.command[18],____TEXT____,
Map.Event[20].Page[0].list.command[19].textData,На стене \c[2]Факел\c[0].,
Map.Event[20].Page[0].list.command[20],___CHOICE___,
Map.Event[20].Page[0].list.command[20].textChoice[0],Взять \c[2]Факел\c[0],
Map.Event[20].Page[0].list.command[20].textChoice[1],Уйти,
Map.Event[22].Page[0].list.command[0],____TEXT____,
Map.Event[22].Page[0].list.command[1].textData,\c[7]Волк\c[0],
Map.Event[22].Page[0].list.command[2].textData,"""Празднество плоти.... Я хочу ещё...""",
Map.Event[22].Page[0].list.command[3],____TEXT____,
Map.Event[22].Page[0].list.command[4].textData,"Господин в маске выглядит очень возбужденным, он тяжело ",
Map.Event[22].Page[0].list.command[5].textData,дышит.,
Map.Event[22].Page[0].list.command[6],____TEXT____,
Map.Event[22].Page[0].list.command[7].textData,"Его гениталии, похоже, в ненормально высоком напряжении ",
Map.Event[22].Page[0].list.command[8].textData,от эрекции.,
Map.Event[22].Page[0].list.command[9],____TEXT____,
Map.Event[22].Page[0].list.command[10].textData,Присоединиться к празднеству?,
Map.Event[22].Page[0].list.command[11],___CHOICE___,
Map.Event[22].Page[0].list.command[11].textChoice[0],Да,
Map.Event[22].Page[0].list.command[11].textChoice[1],Нет,
Map.Event[22].Page[0].list.command[14],____TEXT____,
Map.Event[22].Page[0].list.command[15].textData,"К сожалению ты не можешь снять свои доспехи, шипы глубоко ",
Map.Event[22].Page[0].list.command[16].textData,"впились в тело, ты не сможешь принять участие в ",
Map.Event[22].Page[0].list.command[17].textData,праздновании... ,
Map.Event[22].Page[0].list.command[33],___CHOICE___,
Map.Event[22].Page[0].list.command[33].textChoice[0],ОРЁЛ,
Map.Event[22].Page[0].list.command[33].textChoice[1],РЕШКА,
Map.Event[22].Page[0].list.command[99],____TEXT____,
Map.Event[22].Page[0].list.command[100].textData,"Благодаря этому действию, твоя близость с Гро-Горотом ",
Map.Event[22].Page[0].list.command[101].textData,растет...,
