ID,source,target
Map179.Event[1].Page[1].list.command[4],____TEXT____,
Map179.Event[1].Page[1].list.command[5].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[6].textData,"""...""",
Map179.Event[1].Page[1].list.command[7],____TEXT____,
Map179.Event[1].Page[1].list.command[8].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[9].textData,"""...""",
Map179.Event[1].Page[1].list.command[10],____TEXT____,
Map179.Event[1].Page[1].list.command[11].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[12].textData,"""Ты всё ещё здесь?""",
Map179.Event[1].Page[1].list.command[13],____TEXT____,
Map179.Event[1].Page[1].list.command[14].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[15].textData,"""Ты что,не видишь,что я читаю?""",
Map179.Event[1].Page[1].list.command[16],____TEXT____,
Map179.Event[1].Page[1].list.command[17].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[18].textData,"""Я пока что не заинтересован в трате своего времени на ",
Map179.Event[1].Page[1].list.command[19].textData,"таких как ты.""",
Map179.Event[1].Page[1].list.command[22],____TEXT____,
Map179.Event[1].Page[1].list.command[23].textData,\c[7]Кахара\c[0],
Map179.Event[1].Page[1].list.command[24].textData,"""...""",
Map179.Event[1].Page[1].list.command[25],___CHOICE___,
Map179.Event[1].Page[1].list.command[25].textChoice[0],"""Ты не думаешь что это слегка грубовато?""",
Map179.Event[1].Page[1].list.command[25].textChoice[1],Показать ему \c[2]Старинную книгу\c[0],
Map179.Event[1].Page[1].list.command[25].textChoice[2],Оставить его,
Map179.Event[1].Page[1].list.command[30],____TEXT____,
Map179.Event[1].Page[1].list.command[31].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[32].textData,"""...""",
Map179.Event[1].Page[1].list.command[33],____TEXT____,
Map179.Event[1].Page[1].list.command[34].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[35].textData,"""Отныне ты для меня - пустое место.""",
Map179.Event[1].Page[1].list.command[36],____TEXT____,
Map179.Event[1].Page[1].list.command[37].textData,Похоже Энки разозлился.,
Map179.Event[1].Page[1].list.command[41],____TEXT____,
Map179.Event[1].Page[1].list.command[42].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[43].textData,"""Грубость - искусственное понятие. В конце концов, ",
Map179.Event[1].Page[1].list.command[44].textData,"все люди эгоисты, поэтому я поступаю как сочту нужным"".",
Map179.Event[1].Page[1].list.command[45],____TEXT____,
Map179.Event[1].Page[1].list.command[46].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[47].textData,"""Теперь оставь меня""",
Map179.Event[1].Page[1].list.command[55],____TEXT____,
Map179.Event[1].Page[1].list.command[56].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[57].textData,"""Ч-что это такое?""",
Map179.Event[1].Page[1].list.command[58],____TEXT____,
Map179.Event[1].Page[1].list.command[59].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[60].textData,"""Это же мистерии безумия - Некрономикон!""",
Map179.Event[1].Page[1].list.command[61],____TEXT____,
Map179.Event[1].Page[1].list.command[62].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[63].textData,"""Где он был найден?""",
Map179.Event[1].Page[1].list.command[64],____TEXT____,
Map179.Event[1].Page[1].list.command[65].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[66].textData,"""...""",
Map179.Event[1].Page[1].list.command[67],____TEXT____,
Map179.Event[1].Page[1].list.command[68].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[69].textData,"""Досадно видеть, что столь прекрасная книга прозябает ",
Map179.Event[1].Page[1].list.command[70].textData,"в руках такого невежды...""",
Map179.Event[1].Page[1].list.command[71],____TEXT____,
Map179.Event[1].Page[1].list.command[72].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[73].textData,"""Как насчёт того чтобы отдать её мне, чтобы ненароком ",
Map179.Event[1].Page[1].list.command[74].textData,"не пораниться, пользуясь силой этой древней реликвии?""",
Map179.Event[1].Page[1].list.command[77],____TEXT____,
Map179.Event[1].Page[1].list.command[78].textData,\c[7]Кахара\c[0],
Map179.Event[1].Page[1].list.command[79].textData,"""...""",
Map179.Event[1].Page[1].list.command[80],___CHOICE___,
Map179.Event[1].Page[1].list.command[80].textChoice[0],Ты можешь её взять.,
Map179.Event[1].Page[1].list.command[80].textChoice[1],А что мне будет с этого?,
Map179.Event[1].Page[1].list.command[84],____TEXT____,
Map179.Event[1].Page[1].list.command[85].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[86].textData,"""Хм, хорошо.""",
Map179.Event[1].Page[1].list.command[87],____TEXT____,
Map179.Event[1].Page[1].list.command[88].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[89].textData,"""Хочешь верь, хочешь нет, но тебе лучше избавиться от ",
Map179.Event[1].Page[1].list.command[90].textData,"столь потенциально опасного оккультного предмета"".",
Map179.Event[1].Page[1].list.command[96],____TEXT____,
Map179.Event[1].Page[1].list.command[97].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[98].textData,"""Тц. Понимаю о чем ты...""",
Map179.Event[1].Page[1].list.command[99],____TEXT____,
Map179.Event[1].Page[1].list.command[100].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[101].textData,"""Что ж, давай заключим сделку: Если ты отдашь мне ",
Map179.Event[1].Page[1].list.command[102].textData,"книгу, я соизволю прогуляться с тобой один раз"".",
Map179.Event[1].Page[1].list.command[103],____TEXT____,
Map179.Event[1].Page[1].list.command[104].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[105].textData,"""На будущее, обычно я не утруждаю себя подобными ",
Map179.Event[1].Page[1].list.command[106].textData,"вещами"".",
Map179.Event[1].Page[1].list.command[109],____TEXT____,
Map179.Event[1].Page[1].list.command[110].textData,\c[7]Кахара\c[0],
Map179.Event[1].Page[1].list.command[111].textData,"""...""",
Map179.Event[1].Page[1].list.command[112],___CHOICE___,
Map179.Event[1].Page[1].list.command[112].textChoice[0],"""По рукам"".",
Map179.Event[1].Page[1].list.command[112].textChoice[1],"""Я отказываюсь"".",
Map179.Event[1].Page[1].list.command[116],____TEXT____,
Map179.Event[1].Page[1].list.command[117].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[118].textData,"""Что ж, спасибо тебе.""",
Map179.Event[1].Page[1].list.command[119],____TEXT____,
Map179.Event[1].Page[1].list.command[120].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[121].textData,"""...""",
Map179.Event[1].Page[1].list.command[122],____TEXT____,
Map179.Event[1].Page[1].list.command[123].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[124].textData,"""Думаю, теперь за мной должок...""",
Map179.Event[1].Page[1].list.command[132],____TEXT____,
Map179.Event[1].Page[1].list.command[133].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[134].textData,"""Как пожелаешь"".",
Map179.Event[1].Page[1].list.command[135],____TEXT____,
Map179.Event[1].Page[1].list.command[136].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[137].textData,"""Не то чтобы мне была нужна эта книга"".",
Map179.Event[1].Page[1].list.command[154],____TEXT____,
Map179.Event[1].Page[1].list.command[155].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[156].textData,"""...""",
Map179.Event[1].Page[1].list.command[157],____TEXT____,
Map179.Event[1].Page[1].list.command[158].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[159].textData,"""...""",
Map179.Event[1].Page[1].list.command[160],____TEXT____,
Map179.Event[1].Page[1].list.command[161].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[162].textData,"""Ты всё ещё здесь?""",
Map179.Event[1].Page[1].list.command[163],____TEXT____,
Map179.Event[1].Page[1].list.command[164].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[165].textData,"""Ты что,не видишь,что я читаю?""",
Map179.Event[1].Page[1].list.command[166],____TEXT____,
Map179.Event[1].Page[1].list.command[167].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[168].textData,"""Я пока что не заинтересован в трате своего времени на ",
Map179.Event[1].Page[1].list.command[169].textData,"таких как ты.""",
Map179.Event[1].Page[1].list.command[172],____TEXT____,
Map179.Event[1].Page[1].list.command[173].textData,\c[7]Кахара\c[0],
Map179.Event[1].Page[1].list.command[174].textData,"""...""",
Map179.Event[1].Page[1].list.command[175],___CHOICE___,
Map179.Event[1].Page[1].list.command[175].textChoice[0],"""Ты не думаешь что это слегка грубовато?""",
Map179.Event[1].Page[1].list.command[175].textChoice[1],Оставить его,
Map179.Event[1].Page[1].list.command[180],____TEXT____,
Map179.Event[1].Page[1].list.command[181].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[182].textData,"""...""",
Map179.Event[1].Page[1].list.command[183],____TEXT____,
Map179.Event[1].Page[1].list.command[184].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[185].textData,"""Отныне ты для меня - пустое место.""",
Map179.Event[1].Page[1].list.command[186],____TEXT____,
Map179.Event[1].Page[1].list.command[187].textData,Похоже Энки разозлился.,
Map179.Event[1].Page[1].list.command[191],____TEXT____,
Map179.Event[1].Page[1].list.command[192].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[193].textData,"""Грубость - искусственное понятие. В конце концов, ",
Map179.Event[1].Page[1].list.command[194].textData,"все люди эгоисты, поэтому я поступаю как сочту нужным"".",
Map179.Event[1].Page[1].list.command[195],____TEXT____,
Map179.Event[1].Page[1].list.command[196].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[1].list.command[197].textData,"""Теперь оставь меня""",
Map179.Event[1].Page[2].list.command[4],____TEXT____,
Map179.Event[1].Page[2].list.command[5].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[6].textData,"""...""",
Map179.Event[1].Page[2].list.command[7],____TEXT____,
Map179.Event[1].Page[2].list.command[8].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[9].textData,"""...""",
Map179.Event[1].Page[2].list.command[10],____TEXT____,
Map179.Event[1].Page[2].list.command[11].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[12].textData,"""Ты всё ещё здесь?""",
Map179.Event[1].Page[2].list.command[13],____TEXT____,
Map179.Event[1].Page[2].list.command[14].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[15].textData,"""Ты что,не видишь,что я читаю?""",
Map179.Event[1].Page[2].list.command[16],____TEXT____,
Map179.Event[1].Page[2].list.command[17].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[18].textData,"""Я пока что не заинтересован в трате своего времени на ",
Map179.Event[1].Page[2].list.command[19].textData,"таких как ты.""",
Map179.Event[1].Page[2].list.command[22],____TEXT____,
Map179.Event[1].Page[2].list.command[23].textData,\c[7]Д'Арс\c[0],
Map179.Event[1].Page[2].list.command[24].textData,"""...""",
Map179.Event[1].Page[2].list.command[25],___CHOICE___,
Map179.Event[1].Page[2].list.command[25].textChoice[0],"""Ты не думаешь что это слегка грубовато?""",
Map179.Event[1].Page[2].list.command[25].textChoice[1],Показать ему \c[2]Старинную книгу\c[0],
Map179.Event[1].Page[2].list.command[25].textChoice[2],Оставить его,
Map179.Event[1].Page[2].list.command[30],____TEXT____,
Map179.Event[1].Page[2].list.command[31].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[32].textData,"""...""",
Map179.Event[1].Page[2].list.command[33],____TEXT____,
Map179.Event[1].Page[2].list.command[34].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[35].textData,"""Отныне ты для меня - пустое место.""",
Map179.Event[1].Page[2].list.command[36],____TEXT____,
Map179.Event[1].Page[2].list.command[37].textData,Похоже Энки разозлился.,
Map179.Event[1].Page[2].list.command[41],____TEXT____,
Map179.Event[1].Page[2].list.command[42].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[43].textData,"""Грубость - искусственное понятие. В конце концов, ",
Map179.Event[1].Page[2].list.command[44].textData,"все люди эгоисты, поэтому я поступаю как сочту нужным"".",
Map179.Event[1].Page[2].list.command[45],____TEXT____,
Map179.Event[1].Page[2].list.command[46].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[47].textData,"""Теперь оставь меня""",
Map179.Event[1].Page[2].list.command[55],____TEXT____,
Map179.Event[1].Page[2].list.command[56].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[57].textData,"""Ч-что это такое?""",
Map179.Event[1].Page[2].list.command[58],____TEXT____,
Map179.Event[1].Page[2].list.command[59].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[60].textData,"""Это же мистерии безумия - Некрономикон!""",
Map179.Event[1].Page[2].list.command[61],____TEXT____,
Map179.Event[1].Page[2].list.command[62].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[63].textData,"""Где он был найден?""",
Map179.Event[1].Page[2].list.command[64],____TEXT____,
Map179.Event[1].Page[2].list.command[65].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[66].textData,"""...""",
Map179.Event[1].Page[2].list.command[67],____TEXT____,
Map179.Event[1].Page[2].list.command[68].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[69].textData,"""Досадно видеть, что столь прекрасная книга прозябает ",
Map179.Event[1].Page[2].list.command[70].textData,"в руках такого невежды...""",
Map179.Event[1].Page[2].list.command[71],____TEXT____,
Map179.Event[1].Page[2].list.command[72].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[73].textData,"""Как насчёт того чтобы отдать её мне, чтобы ненароком ",
Map179.Event[1].Page[2].list.command[74].textData,"не пораниться, пользуясь силой этой древней реликвии?""",
Map179.Event[1].Page[2].list.command[77],____TEXT____,
Map179.Event[1].Page[2].list.command[78].textData,\c[7]Д'Арс\c[0],
Map179.Event[1].Page[2].list.command[79].textData,"""...""",
Map179.Event[1].Page[2].list.command[80],___CHOICE___,
Map179.Event[1].Page[2].list.command[80].textChoice[0],Ты можешь её взять.,
Map179.Event[1].Page[2].list.command[80].textChoice[1],А что мне будет с этого?,
Map179.Event[1].Page[2].list.command[84],____TEXT____,
Map179.Event[1].Page[2].list.command[85].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[86].textData,"""Хм, хорошо.""",
Map179.Event[1].Page[2].list.command[87],____TEXT____,
Map179.Event[1].Page[2].list.command[88].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[89].textData,"""Хочешь верь, хочешь нет, но тебе лучше избавиться от ",
Map179.Event[1].Page[2].list.command[90].textData,"столь потенциально опасного оккультного предмета"".",
Map179.Event[1].Page[2].list.command[96],____TEXT____,
Map179.Event[1].Page[2].list.command[97].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[98].textData,"""Тц. Понимаю о чем ты...""",
Map179.Event[1].Page[2].list.command[99],____TEXT____,
Map179.Event[1].Page[2].list.command[100].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[101].textData,"""Что ж, давай заключим сделку: Если ты отдашь мне ",
Map179.Event[1].Page[2].list.command[102].textData,"книгу, я соизволю прогуляться с тобой один раз"".",
Map179.Event[1].Page[2].list.command[103],____TEXT____,
Map179.Event[1].Page[2].list.command[104].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[105].textData,"""На будущее, обычно я не утруждаю себя подобными ",
Map179.Event[1].Page[2].list.command[106].textData,"вещами"".",
Map179.Event[1].Page[2].list.command[109],____TEXT____,
Map179.Event[1].Page[2].list.command[110].textData,\c[7]Д'Арс\c[0],
Map179.Event[1].Page[2].list.command[111].textData,"""...""",
Map179.Event[1].Page[2].list.command[112],___CHOICE___,
Map179.Event[1].Page[2].list.command[112].textChoice[0],"""По рукам"".",
Map179.Event[1].Page[2].list.command[112].textChoice[1],"""Я отказываюсь"".",
Map179.Event[1].Page[2].list.command[116],____TEXT____,
Map179.Event[1].Page[2].list.command[117].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[118].textData,"""Что ж, спасибо тебе.""",
Map179.Event[1].Page[2].list.command[119],____TEXT____,
Map179.Event[1].Page[2].list.command[120].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[121].textData,"""...""",
Map179.Event[1].Page[2].list.command[122],____TEXT____,
Map179.Event[1].Page[2].list.command[123].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[124].textData,"""Думаю, теперь за мной должок...""",
Map179.Event[1].Page[2].list.command[132],____TEXT____,
Map179.Event[1].Page[2].list.command[133].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[134].textData,"""Как пожелаешь"".",
Map179.Event[1].Page[2].list.command[135],____TEXT____,
Map179.Event[1].Page[2].list.command[136].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[137].textData,"""Не то чтобы мне была нужна эта книга"".",
Map179.Event[1].Page[2].list.command[154],____TEXT____,
Map179.Event[1].Page[2].list.command[155].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[156].textData,"""...""",
Map179.Event[1].Page[2].list.command[157],____TEXT____,
Map179.Event[1].Page[2].list.command[158].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[159].textData,"""...""",
Map179.Event[1].Page[2].list.command[160],____TEXT____,
Map179.Event[1].Page[2].list.command[161].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[162].textData,"""Ты всё ещё здесь?""",
Map179.Event[1].Page[2].list.command[163],____TEXT____,
Map179.Event[1].Page[2].list.command[164].textData,\c[7]Энки\c[0],
Map179.Event[1].Page[2].list.command[165].textData,"""Ты что,не видишь,что я читаю?""",
Map179.Event[1].Page[2].list.command[166],____TEXT____,
