Ruta,Texto original,Traducción
Map.Event[24].Page[12].list.command[2],____TEXT____,
Map.Event[24].Page[12].list.command[3].textData,Бог страха и голода признает твои страдания.,
Map.Event[26].Page[0].list.command[2],____TEXT____,
Map.Event[26].Page[0].list.command[3].textData,Ты смотришь во тьму...,
Map.Event[26].Page[0].list.command[33],____TEXT____,
Map.Event[26].Page[0].list.command[34].textData,Твой рассудок угасает с пугающей скоростью! Ты отчаянно ,
Map.Event[26].Page[0].list.command[35].textData,"борешься за каждый вдох, пока твое тело постепенно ",
Map.Event[26].Page[0].list.command[36].textData,перестает функционировать от шока и ужаса.,
Map.Event[26].Page[0].list.command[37],____TEXT____,
Map.Event[26].Page[0].list.command[38].textData,Ты чувствуешь бушующий внутри тебя ужас. ,
Map.Event[26].Page[0].list.command[39].textData,"Это подземелье закалило тебя, но ничто не готовило ",
Map.Event[26].Page[0].list.command[40].textData,тебя к настолько первобытным чувствам.,
Map.Event[26].Page[0].list.command[41],____TEXT____,
Map.Event[26].Page[0].list.command[42].textData,"Ты не можешь двигаться. Твое тело будто отключилось, ",
Map.Event[26].Page[0].list.command[43].textData,"пожалуй, это единственный возможный путь к побегу ",
Map.Event[26].Page[0].list.command[44].textData,перед лицом этого древнего создания.,
Map.Event[26].Page[0].list.command[45],____TEXT____,
Map.Event[26].Page[0].list.command[46].textData,В мгновение ока вся твоя жизнь проносится перед ,
Map.Event[26].Page[0].list.command[47].textData,глазами. Твоя главная ошибка - ступить в эти подземелья.,
Map.Event[26].Page[0].list.command[48],____TEXT____,
Map.Event[26].Page[0].list.command[49].textData,"Теперь ты осознаешь, что все происходящее было ",
Map.Event[26].Page[0].list.command[50].textData,"предопределено в тот момент, когда твой взор упал на ",
Map.Event[26].Page[0].list.command[51].textData,эту древнюю крепость...,
Map.Event[26].Page[1].list.command[6],____TEXT____,
Map.Event[26].Page[1].list.command[7].textData,Ты смотришь во тьму...,
Map.Event[26].Page[1].list.command[33],____TEXT____,
Map.Event[26].Page[1].list.command[34].textData,\c[7]Наз'Ра\c[0],
