Ruta,Texto original,Traducción
Map.Event[3].Page[0].list.command[0],____TEXT____,
Map.Event[3].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[3].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[6].Page[0].list.command[0],____TEXT____,
Map.Event[6].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[6].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[12].Page[0].list.command[0],____TEXT____,
Map.Event[12].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[12].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[13].Page[0].list.command[0],____TEXT____,
Map.Event[13].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[13].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[14].Page[0].list.command[0],____TEXT____,
Map.Event[14].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[14].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[15].Page[0].list.command[0],____TEXT____,
Map.Event[15].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[15].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[16].Page[0].list.command[0],____TEXT____,
Map.Event[16].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[16].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[18].Page[0].list.command[0],____TEXT____,
Map.Event[18].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[18].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[20].Page[0].list.command[0],____TEXT____,
Map.Event[20].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[20].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[21].Page[0].list.command[0],____TEXT____,
Map.Event[21].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[21].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[24].Page[0].list.command[0],____TEXT____,
Map.Event[24].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[24].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[25].Page[0].list.command[0],____TEXT____,
Map.Event[25].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[25].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[27].Page[0].list.command[0],____TEXT____,
Map.Event[27].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[27].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[60].Page[0].list.command[0],____TEXT____,
Map.Event[60].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[60].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
Map.Event[63].Page[0].list.command[0],____TEXT____,
Map.Event[63].Page[0].list.command[1].textData,The stone statue is standing ominously here.,
Map.Event[63].Page[0].list.command[2].textData,It's too heavy to move. It won't even budge.,
