Ruta,Texto original,Traducción
Map.Event[4].Page[0].list.command[0],____TEXT____,
Map.Event[4].Page[0].list.command[1].textData,Leave the dungeons?,
Map.Event[4].Page[0].list.command[2],___CHOICE___,
Map.Event[4].Page[0].list.command[2].textChoice[0],Leave,
Map.Event[4].Page[0].list.command[2].textChoice[1],Nevermind,
Map.Event[4].Page[0].list.command[6],____TEXT____,
Map.Event[4].Page[0].list.command[7].textData,\c[7]Ragnvaldr\c[0],
Map.Event[4].Page[0].list.command[8].textData,"""Well this was fun! We make a good team!""",
Map.Event[5].Page[0].list.command[0],____TEXT____,
Map.Event[5].Page[0].list.command[1].textData,Leave the dungeons?,
Map.Event[5].Page[0].list.command[2],___CHOICE___,
Map.Event[5].Page[0].list.command[2].textChoice[0],Leave,
Map.Event[5].Page[0].list.command[2].textChoice[1],Nevermind,
Map.Event[5].Page[0].list.command[6],____TEXT____,
Map.Event[5].Page[0].list.command[7].textData,\c[7]Ragnvaldr\c[0],
Map.Event[5].Page[0].list.command[8].textData,"""Well this was fun! We make a good team!""",
Map.Event[6].Page[0].list.command[8].textComment,MERCENARY,
Map.Event[6].Page[0].list.command[45].textComment,KNIGHT,
Map.Event[6].Page[0].list.command[85].textComment,CAPTAIN,
Map.Event[6].Page[0].list.command[126].textComment,OUTLANDER,
Map.Event[6].Page[0].list.command[166].textComment,MARRIAGE,
Map.Event[6].Page[0].list.command[206].textComment,DARK PRIEST,
Map.Event[7].Page[0].list.command[0],____TEXT____,
Map.Event[7].Page[0].list.command[1].textData,You search the crate for anything useful...,
Map.Event[7].Page[1].list.command[0],____TEXT____,
Map.Event[7].Page[1].list.command[1].textData,The crate is empty.,
Map.Event[10].Page[0].list.command[1],____TEXT____,
Map.Event[10].Page[0].list.command[2].textData,You unlocked the door.,
Map.Event[10].Page[0].list.command[15],____TEXT____,
Map.Event[10].Page[0].list.command[16].textData,You could open the door with \c[2]Lockpicking\c[0].,
Map.Event[10].Page[0].list.command[17],___CHOICE___,
Map.Event[10].Page[0].list.command[17].textChoice[0],Use \c[2]Lockpicking\c[0],
Map.Event[10].Page[0].list.command[17].textChoice[1],Don't,
Map.Event[10].Page[0].list.command[36],____TEXT____,
Map.Event[10].Page[0].list.command[37].textData,The door is locked...,
Map.Event[10].Page[0].list.command[38],___CHOICE___,
Map.Event[10].Page[0].list.command[38].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[10].Page[0].list.command[38].textChoice[1],Use \c[2]Red vial\c[0],
Map.Event[10].Page[0].list.command[38].textChoice[2],Leave,
Map.Event[10].Page[0].list.command[66],____TEXT____,
Map.Event[10].Page[0].list.command[67].textData,The door is locked...,
Map.Event[10].Page[0].list.command[68],___CHOICE___,
Map.Event[10].Page[0].list.command[68].textChoice[0],Use \c[2]Red vial\c[0],
Map.Event[10].Page[0].list.command[68].textChoice[1],Force the door open,
Map.Event[10].Page[0].list.command[68].textChoice[2],Leave,
Map.Event[10].Page[0].list.command[88],____TEXT____,
Map.Event[10].Page[0].list.command[89].textData,You managed to force your way through the door.,
Map.Event[10].Page[0].list.command[95],____TEXT____,
Map.Event[10].Page[0].list.command[96].textData,You don't seem to be strong enough to force the door open...,
Map.Event[10].Page[0].list.command[108],____TEXT____,
Map.Event[10].Page[0].list.command[109].textData,The door is locked...,
Map.Event[10].Page[0].list.command[110],___CHOICE___,
Map.Event[10].Page[0].list.command[110].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[10].Page[0].list.command[110].textChoice[1],Leave,
Map.Event[10].Page[0].list.command[126],____TEXT____,
Map.Event[10].Page[0].list.command[127].textData,The door is locked...,
Map.Event[10].Page[0].list.command[128],___CHOICE___,
Map.Event[10].Page[0].list.command[128].textChoice[0],Force the door open,
Map.Event[10].Page[0].list.command[128].textChoice[1],Leave,
Map.Event[10].Page[0].list.command[136],____TEXT____,
Map.Event[10].Page[0].list.command[137].textData,You managed to force your way through the door.,
Map.Event[10].Page[0].list.command[143],____TEXT____,
Map.Event[10].Page[0].list.command[144].textData,You don't seem to be strong enough to force the door open...,
Map.Event[11].Page[0].list.command[1],____TEXT____,
Map.Event[11].Page[0].list.command[2].textData,You could open the door with \c[2]Lockpicking\c[0].,
Map.Event[11].Page[0].list.command[3],___CHOICE___,
Map.Event[11].Page[0].list.command[3].textChoice[0],Use \c[2]Lockpicking\c[0],
Map.Event[11].Page[0].list.command[3].textChoice[1],Don't,
Map.Event[11].Page[0].list.command[22],____TEXT____,
Map.Event[11].Page[0].list.command[23].textData,The door is locked...,
Map.Event[11].Page[0].list.command[24],___CHOICE___,
Map.Event[11].Page[0].list.command[24].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[11].Page[0].list.command[24].textChoice[1],Use \c[2]Red vial\c[0],
Map.Event[11].Page[0].list.command[24].textChoice[2],Leave,
Map.Event[11].Page[0].list.command[52],____TEXT____,
Map.Event[11].Page[0].list.command[53].textData,The door is locked...,
Map.Event[11].Page[0].list.command[54],___CHOICE___,
Map.Event[11].Page[0].list.command[54].textChoice[0],Use \c[2]Red vial\c[0],
Map.Event[11].Page[0].list.command[54].textChoice[1],Force the door open,
Map.Event[11].Page[0].list.command[54].textChoice[2],Leave,
Map.Event[11].Page[0].list.command[73],____TEXT____,
Map.Event[11].Page[0].list.command[74].textData,You managed to force your way through the door.,
Map.Event[11].Page[0].list.command[80],____TEXT____,
Map.Event[11].Page[0].list.command[81].textData,You don't seem to be strong enough to force the door open...,
Map.Event[11].Page[0].list.command[93],____TEXT____,
Map.Event[11].Page[0].list.command[94].textData,The door is locked...,
Map.Event[11].Page[0].list.command[95],___CHOICE___,
Map.Event[11].Page[0].list.command[95].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[11].Page[0].list.command[95].textChoice[1],Leave,
Map.Event[11].Page[0].list.command[111],____TEXT____,
Map.Event[11].Page[0].list.command[112].textData,The door is locked...,
Map.Event[11].Page[0].list.command[113],___CHOICE___,
Map.Event[11].Page[0].list.command[113].textChoice[0],Force the door open,
Map.Event[11].Page[0].list.command[113].textChoice[1],Leave,
Map.Event[11].Page[0].list.command[121],____TEXT____,
Map.Event[11].Page[0].list.command[122].textData,You managed to force your way through the door.,
Map.Event[11].Page[0].list.command[128],____TEXT____,
Map.Event[11].Page[0].list.command[129].textData,You don't seem to be strong enough to force the door open...,
Map.Event[13].Page[0].list.command[1],____TEXT____,
Map.Event[13].Page[0].list.command[2].textData,You could open the door with \c[2]Lockpicking\c[0].,
Map.Event[13].Page[0].list.command[3],___CHOICE___,
Map.Event[13].Page[0].list.command[3].textChoice[0],Use \c[2]Lockpicking\c[0],
Map.Event[13].Page[0].list.command[3].textChoice[1],Don't,
Map.Event[13].Page[0].list.command[22],____TEXT____,
Map.Event[13].Page[0].list.command[23].textData,The door is locked...,
Map.Event[13].Page[0].list.command[24],___CHOICE___,
Map.Event[13].Page[0].list.command[24].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[13].Page[0].list.command[24].textChoice[1],Use \c[2]Red vial\c[0],
Map.Event[13].Page[0].list.command[24].textChoice[2],Leave,
Map.Event[13].Page[0].list.command[52],____TEXT____,
Map.Event[13].Page[0].list.command[53].textData,The door is locked...,
Map.Event[13].Page[0].list.command[54],___CHOICE___,
Map.Event[13].Page[0].list.command[54].textChoice[0],Use \c[2]Red vial\c[0],
Map.Event[13].Page[0].list.command[54].textChoice[1],Force the door open,
Map.Event[13].Page[0].list.command[54].textChoice[2],Leave,
Map.Event[13].Page[0].list.command[74],____TEXT____,
Map.Event[13].Page[0].list.command[75].textData,You managed to force your way through the door.,
Map.Event[13].Page[0].list.command[81],____TEXT____,
Map.Event[13].Page[0].list.command[82].textData,You don't seem to be strong enough to force the door open...,
Map.Event[13].Page[0].list.command[94],____TEXT____,
Map.Event[13].Page[0].list.command[95].textData,The door is locked...,
Map.Event[13].Page[0].list.command[96],___CHOICE___,
Map.Event[13].Page[0].list.command[96].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[13].Page[0].list.command[96].textChoice[1],Leave,
Map.Event[13].Page[0].list.command[112],____TEXT____,
Map.Event[13].Page[0].list.command[113].textData,The door is locked...,
Map.Event[13].Page[0].list.command[114],___CHOICE___,
Map.Event[13].Page[0].list.command[114].textChoice[0],Force the door open,
Map.Event[13].Page[0].list.command[114].textChoice[1],Leave,
Map.Event[13].Page[0].list.command[122],____TEXT____,
Map.Event[13].Page[0].list.command[123].textData,You managed to force your way through the door.,
Map.Event[13].Page[0].list.command[129],____TEXT____,
Map.Event[13].Page[0].list.command[130].textData,You don't seem to be strong enough to force the door open...,
Map.Event[16].Page[0].list.command[0].textComment,<follower touch>,
Map.Event[16].Page[1].list.command[0].textComment,<follower touch>,
Map.Event[16].Page[2].list.command[2],____TEXT____,
Map.Event[16].Page[2].list.command[3].textData,You could use \c[2]Soul stone\c[0] here...,
Map.Event[16].Page[2].list.command[4],___CHOICE___,
Map.Event[16].Page[2].list.command[4].textChoice[0],Yes,
Map.Event[16].Page[2].list.command[4].textChoice[1],No,
Map.Event[16].Page[2].list.command[7],____TEXT____,
Map.Event[16].Page[2].list.command[8].textData,The \c[2]Soul stone\c[0] changed its appearance.,
Map.Event[16].Page[2].list.command[9].textData,The stone is radiating faint blue light.,
Map.Event[16].Page[2].list.command[23],____TEXT____,
Map.Event[16].Page[2].list.command[24].textData,You could \c[2]Devour\c[0] the remains of the dead ghoul.,
Map.Event[16].Page[2].list.command[25],___CHOICE___,
Map.Event[16].Page[2].list.command[25].textChoice[0],Yes,
Map.Event[16].Page[2].list.command[25].textChoice[1],No,
Map.Event[16].Page[2].list.command[72],____TEXT____,
Map.Event[16].Page[2].list.command[73].textData,You devoured the remains.,
Map.Event[16].Page[2].list.command[88],____TEXT____,
Map.Event[16].Page[2].list.command[89].textData,You could use \c[2]Demon seed\c[0] on the dead ghoul.,
Map.Event[16].Page[2].list.command[90],___CHOICE___,
Map.Event[16].Page[2].list.command[90].textChoice[0],Use ,
Map.Event[16].Page[2].list.command[90].textChoice[1],No,
Map.Event[16].Page[2].list.command[144],____TEXT____,
Map.Event[16].Page[2].list.command[145].textData,A baby sprouted out of your seed!,
Map.Event[16].Page[2].list.command[146],____TEXT____,
Map.Event[16].Page[2].list.command[147].textData,You take the baby with you.,
Map.Event[16].Page[2].list.command[161],____TEXT____,
Map.Event[16].Page[2].list.command[162].textData,You do not have enough sanity to perform this act.,
Map.Event[16].Page[2].list.command[220],____TEXT____,
Map.Event[16].Page[2].list.command[221].textData,You could use \c[2]Necromancy\c[0] on the dead prisoner.,
Map.Event[16].Page[2].list.command[222],___CHOICE___,
Map.Event[16].Page[2].list.command[222].textChoice[0],Use \c[2]Necromancy\c[0],
Map.Event[16].Page[2].list.command[222].textChoice[1],Leave,
Map.Event[16].Page[2].list.command[238],____TEXT____,
Map.Event[16].Page[2].list.command[239].textData,\c[2]Necromancy\c[0] was succesful!,
Map.Event[16].Page[2].list.command[282],____TEXT____,
Map.Event[16].Page[2].list.command[283].textData,Give a name to your new ghoul!,
Map.Event[16].Page[2].list.command[286],____TEXT____,
Map.Event[16].Page[2].list.command[287].textData,\N[18] doesn't seem to remember his past life ,
Map.Event[16].Page[2].list.command[288].textData,and seems to be confused about life.,
Map.Event[16].Page[2].list.command[289],____TEXT____,
Map.Event[16].Page[2].list.command[290].textData,Shamelessly he scratches his groin area.,
Map.Event[16].Page[2].list.command[295],___CHOICE___,
Map.Event[16].Page[2].list.command[295].textChoice[0],HEADS,
Map.Event[16].Page[2].list.command[295].textChoice[1],TAILS,
Map.Event[16].Page[2].list.command[308],____TEXT____,
Map.Event[16].Page[2].list.command[309].textData,\c[2]Necromancy\c[0] was succesful!,
Map.Event[16].Page[2].list.command[352],____TEXT____,
Map.Event[16].Page[2].list.command[353].textData,Give a name to your new ghoul!,
Map.Event[16].Page[2].list.command[356],____TEXT____,
Map.Event[16].Page[2].list.command[357].textData,\N[18] doesn't seem to remember his past life ,
Map.Event[16].Page[2].list.command[358].textData,and seems to be confused about life.,
Map.Event[16].Page[2].list.command[359],____TEXT____,
Map.Event[16].Page[2].list.command[360].textData,Shamelessly he scratches his groin area.,
Map.Event[16].Page[2].list.command[371],____TEXT____,
Map.Event[16].Page[2].list.command[372].textData,\c[2]Necromancy\c[0] failed!,
Map.Event[16].Page[2].list.command[432],____TEXT____,
Map.Event[16].Page[2].list.command[433].textData,\c[2]Necromancy\c[0] was succesful!,
Map.Event[16].Page[2].list.command[476],____TEXT____,
Map.Event[16].Page[2].list.command[477].textData,Give a name to your new ghoul!,
Map.Event[16].Page[2].list.command[480],____TEXT____,
Map.Event[16].Page[2].list.command[481].textData,\N[18] doesn't seem to remember his past life and,
Map.Event[16].Page[2].list.command[482].textData,seems to be confused about life.,
Map.Event[16].Page[2].list.command[483],____TEXT____,
Map.Event[16].Page[2].list.command[484].textData,Shamelessly he scratches his groin area.,
Map.Event[16].Page[2].list.command[495],____TEXT____,
Map.Event[16].Page[2].list.command[496].textData,\c[2]Necromancy\c[0] failed!,
Map.Event[16].Page[2].list.command[555],____TEXT____,
Map.Event[16].Page[2].list.command[556].textData,You could use \c[2]Necromancy\c[0] on the dead prisoner.,
Map.Event[16].Page[2].list.command[557],___CHOICE___,
Map.Event[16].Page[2].list.command[557].textChoice[0],Use \c[2]Necromancy\c[0],
Map.Event[16].Page[2].list.command[557].textChoice[1],Leave,
Map.Event[16].Page[2].list.command[559],____TEXT____,
Map.Event[16].Page[2].list.command[560].textData,You don't have enough sanity to perform such actions.,
Map.Event[16].Page[2].list.command[570],____TEXT____,
Map.Event[16].Page[2].list.command[571].textData,What do you want to do with the body?,
Map.Event[16].Page[2].list.command[572],___CHOICE___,
Map.Event[16].Page[2].list.command[572].textChoice[0],Beat him,
Map.Event[16].Page[2].list.command[572].textChoice[1],Search him,
Map.Event[16].Page[2].list.command[572].textChoice[2],Skin him,
Map.Event[16].Page[2].list.command[572].textChoice[3],Leave him,
Map.Event[16].Page[2].list.command[578],____TEXT____,
Map.Event[16].Page[2].list.command[579].textData,You beat it's boney body.,
Map.Event[16].Page[2].list.command[582],____TEXT____,
Map.Event[16].Page[2].list.command[583].textData,Prisoner has nothing of value.,
Map.Event[16].Page[2].list.command[592],____TEXT____,
Map.Event[16].Page[2].list.command[593].textData,You took \c[2]Pale skin\c[0]!,
Map.Event[16].Page[2].list.command[600],____TEXT____,
Map.Event[16].Page[2].list.command[601].textData,What do you want to do with the body?,
Map.Event[16].Page[2].list.command[602],___CHOICE___,
Map.Event[16].Page[2].list.command[602].textChoice[0],Beat him,
Map.Event[16].Page[2].list.command[602].textChoice[1],Search him,
Map.Event[16].Page[2].list.command[602].textChoice[2],Leave him,
Map.Event[16].Page[2].list.command[608],____TEXT____,
Map.Event[16].Page[2].list.command[609].textData,You beat it's boney body.,
Map.Event[16].Page[2].list.command[612],____TEXT____,
Map.Event[16].Page[2].list.command[613].textData,Prisoner has nothing of value.,
Map.Event[16].Page[3].list.command[2],____TEXT____,
Map.Event[16].Page[3].list.command[3].textData,You could use \c[2]Soul stone\c[0] here...,
Map.Event[16].Page[3].list.command[4],___CHOICE___,
Map.Event[16].Page[3].list.command[4].textChoice[0],Yes,
Map.Event[16].Page[3].list.command[4].textChoice[1],No,
Map.Event[16].Page[3].list.command[7],____TEXT____,
Map.Event[16].Page[3].list.command[8].textData,The \c[2]Soul stone\c[0] changed its appearance.,
Map.Event[16].Page[3].list.command[9].textData,The stone is radiating faint blue light.,
Map.Event[16].Page[3].list.command[22],____TEXT____,
Map.Event[16].Page[3].list.command[23].textData,A pile of flesh remains here...,
Map.Event[17].Page[0].list.command[0].textComment,<follower touch>,
Map.Event[22].Page[0].list.command[0],____TEXT____,
Map.Event[22].Page[0].list.command[1].textData,"There is a lever here, but it's jammed...",
Map.Event[22].Page[1].list.command[0],____TEXT____,
Map.Event[22].Page[1].list.command[1].textData,It doesn't seem to budge anymore.,
Map.Event[24].Page[0].list.command[3],____TEXT____,
Map.Event[24].Page[0].list.command[4].textData,You are unable to move...,
Map.Event[24].Page[0].list.command[5],___CHOICE___,
