Ruta,Texto original,Traducción
Map.Event[5].Page[1].list.command[0],____TEXT____,
Map.Event[5].Page[1].list.command[1].textData,Moonless is dead now...,
Map.Event[6].Page[1].list.command[0],____TEXT____,
Map.Event[6].Page[1].list.command[1].textData,Here lies \N[6]...,
Map.Event[7].Page[1].list.command[0],____TEXT____,
Map.Event[7].Page[1].list.command[1].textData,Here lies \N[5]...,
Map.Event[8].Page[1].list.command[0],____TEXT____,
Map.Event[8].Page[1].list.command[1].textData,Here lies \N[4]...,
Map.Event[9].Page[1].list.command[0],____TEXT____,
Map.Event[9].Page[1].list.command[1].textData,Here lies \N[3]...,
Map.Event[10].Page[1].list.command[0],____TEXT____,
Map.Event[10].Page[1].list.command[1].textData,Here lies \N[1]...,
Map.Event[10].Page[1].list.command[4],____TEXT____,
Map.Event[10].Page[1].list.command[5].textData,You could use \c[2]Soul stone\c[0] here...,
Map.Event[10].Page[1].list.command[6],___CHOICE___,
Map.Event[10].Page[1].list.command[6].textChoice[0],Yes,
Map.Event[10].Page[1].list.command[6].textChoice[1],No,
Map.Event[10].Page[1].list.command[9],____TEXT____,
Map.Event[10].Page[1].list.command[10].textData,The \c[2]Soul stone\c[0] changed its appearance.,
Map.Event[10].Page[1].list.command[11].textData,The stone is radiating faint blue light.,
Map.Event[15].Page[0].list.command[1],____TEXT____,
Map.Event[15].Page[0].list.command[2].textData,The wall feels soft around here.,
Map.Event[15].Page[0].list.command[3],___CHOICE___,
Map.Event[15].Page[0].list.command[3].textChoice[0],Push,
Map.Event[15].Page[0].list.command[3].textChoice[1],Leave,
Map.Event[18].Page[1].list.command[0],____TEXT____,
Map.Event[18].Page[1].list.command[1].textData,The girl is dead now...,
Map.Event[19].Page[1].list.command[0],____TEXT____,
Map.Event[19].Page[1].list.command[1].textData,Here lies \N[16]...,
Map.Event[20].Page[1].list.command[0],____TEXT____,
Map.Event[20].Page[1].list.command[1].textData,Here lies \N[17]...,
Map.Event[21].Page[1].list.command[0],____TEXT____,
Map.Event[21].Page[1].list.command[1].textData,Here lies \N[18]...,
Map.Event[22].Page[0].list.command[3],____TEXT____,
Map.Event[22].Page[0].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[0].list.command[5],___CHOICE___,
Map.Event[22].Page[0].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[0].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[1].list.command[3],____TEXT____,
Map.Event[22].Page[1].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[1].list.command[5],___CHOICE___,
Map.Event[22].Page[1].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[1].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[2].list.command[3],____TEXT____,
Map.Event[22].Page[2].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[2].list.command[5],___CHOICE___,
Map.Event[22].Page[2].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[2].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[3].list.command[3],____TEXT____,
Map.Event[22].Page[3].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[3].list.command[5],___CHOICE___,
Map.Event[22].Page[3].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[3].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[4].list.command[3],____TEXT____,
Map.Event[22].Page[4].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[4].list.command[5],___CHOICE___,
Map.Event[22].Page[4].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[4].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[5].list.command[3],____TEXT____,
Map.Event[22].Page[5].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[5].list.command[5],___CHOICE___,
Map.Event[22].Page[5].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[5].list.command[5].textChoice[1],Hold on!,
Map.Event[22].Page[6].list.command[3],____TEXT____,
Map.Event[22].Page[6].list.command[4].textData,You are unable to move...,
Map.Event[22].Page[6].list.command[5],___CHOICE___,
Map.Event[22].Page[6].list.command[5].textChoice[0],Quit breathing,
Map.Event[22].Page[6].list.command[5].textChoice[1],Hold on!,
Map.Event[34].Page[0].list.command[8].textComment,MERCENARY,
Map.Event[34].Page[0].list.command[86].textComment,KNIGHT,
Map.Event[34].Page[0].list.command[164].textComment,CAPTAIN,
Map.Event[34].Page[0].list.command[260].textComment,OUTLANDER,
Map.Event[34].Page[0].list.command[338].textComment,MARRIAGE,
Map.Event[45].Page[1].list.command[0],____TEXT____,
Map.Event[45].Page[1].list.command[1].textData,Your child is dead now...,
