Ruta,Texto original,Traducción
Map.Event[14].Page[1].list.command[1],____TEXT____,
Map.Event[14].Page[1].list.command[2].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[3].textData,"""Oh you woke up.""",
Map.Event[14].Page[1].list.command[4],____TEXT____,
Map.Event[14].Page[1].list.command[5].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[6].textData,"""You truly have nerves of steel my friend.""",
Map.Event[14].Page[1].list.command[7],____TEXT____,
Map.Event[14].Page[1].list.command[8].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[9].textData,"""Here I am shivering like a leaf of an aspen tree and you",
Map.Event[14].Page[1].list.command[10].textData,"take a beauty nap. Incredible.""",
Map.Event[14].Page[1].list.command[13],____TEXT____,
Map.Event[14].Page[1].list.command[14].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[15].textData,"""W-why!? This is relentless!""",
Map.Event[14].Page[1].list.command[16],____TEXT____,
Map.Event[14].Page[1].list.command[17].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[18].textData,"""Behind every corner, something new awaits to harm me.""",
Map.Event[14].Page[1].list.command[19],___CHOICE___,
Map.Event[14].Page[1].list.command[19].textChoice[0],"""Are you just going to hide here?""",
Map.Event[14].Page[1].list.command[19].textChoice[1],"""Get a hold of yourself!""",
Map.Event[14].Page[1].list.command[19].textChoice[2],"""...""",
Map.Event[14].Page[1].list.command[21],____TEXT____,
Map.Event[14].Page[1].list.command[22].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[23].textData,"""In case you haven't noticed already, these dungeons are",
Map.Event[14].Page[1].list.command[24].textData,filled with unimaginable horrors from the depths of the ,
Map.Event[14].Page[1].list.command[25].textData,"darkness...""",
Map.Event[14].Page[1].list.command[26],____TEXT____,
Map.Event[14].Page[1].list.command[27].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[28].textData,"""One more terrifying than the last. But the most sadistic one",
Map.Event[14].Page[1].list.command[29].textData,"would have to be Trortur, the torturer of these dungeons.""",
Map.Event[14].Page[1].list.command[32],____TEXT____,
Map.Event[14].Page[1].list.command[33].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[1].list.command[34].textData,"""It's not that simple...""",
Map.Event[14].Page[2].list.command[1],____TEXT____,
Map.Event[14].Page[2].list.command[2].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[3].textData,"""Oh you woke up.""",
Map.Event[14].Page[2].list.command[4],____TEXT____,
Map.Event[14].Page[2].list.command[5].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[6].textData,"""You truly have nerves of steel my friend.""",
Map.Event[14].Page[2].list.command[7],____TEXT____,
Map.Event[14].Page[2].list.command[8].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[9].textData,"""Here I am shivering like a leaf of an aspen tree and you",
Map.Event[14].Page[2].list.command[10].textData,"take a beauty nap. Incredible.""",
Map.Event[14].Page[2].list.command[11],____TEXT____,
Map.Event[14].Page[2].list.command[12].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[13].textData,"""And you managed to get rid of that wretched torturer.""",
Map.Event[14].Page[2].list.command[16],____TEXT____,
Map.Event[14].Page[2].list.command[17].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[18].textData,"""You managed to get rid of that wretched torturer?""",
Map.Event[14].Page[2].list.command[21],____TEXT____,
Map.Event[14].Page[2].list.command[22].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[23].textData,"""Absolutely magnificent!""",
Map.Event[14].Page[2].list.command[24],____TEXT____,
Map.Event[14].Page[2].list.command[25].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[26].textData,"""But the dangers of this dungeon don't end here!""",
Map.Event[14].Page[2].list.command[27],___CHOICE___,
Map.Event[14].Page[2].list.command[27].textChoice[0],"""What are you doing here?""",
Map.Event[14].Page[2].list.command[27].textChoice[1],"""Do you want to travel together?""",
Map.Event[14].Page[2].list.command[29],____TEXT____,
Map.Event[14].Page[2].list.command[30].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[31].textData,"""Ah... Well... It's complicated.""",
Map.Event[14].Page[2].list.command[32],____TEXT____,
Map.Event[14].Page[2].list.command[33].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[34].textData,"""Let us trade words later in a more secure enviroment.""",
Map.Event[14].Page[2].list.command[37],____TEXT____,
Map.Event[14].Page[2].list.command[38].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[39].textData,"""Aah, you are heading towards the darkness...""",
Map.Event[14].Page[2].list.command[40],____TEXT____,
Map.Event[14].Page[2].list.command[41].textData,\c[7]Buckman\c[0],
Map.Event[14].Page[2].list.command[42].textData,"""I apologize, but not this time. I will catch my breath here ",
Map.Event[14].Page[2].list.command[43].textData,"for a while.""",
Map.Event[15].Page[0].list.command[0],____TEXT____,
Map.Event[15].Page[0].list.command[1].textData,There is a bloody toilet hole. You could fit through,
Map.Event[15].Page[0].list.command[2].textData,the hole...,
Map.Event[15].Page[0].list.command[3],___CHOICE___,
Map.Event[15].Page[0].list.command[3].textChoice[0],Look,
Map.Event[15].Page[0].list.command[3].textChoice[1],Climb in,
