Ruta,Texto original,Traducción
Map.Event[4].Page[0].list.command[7],____TEXT____,
Map.Event[4].Page[0].list.command[8].textData,The mercenary Cahara seems to have left your party without,
Map.Event[4].Page[0].list.command[9].textData,you noticing it.,
Map.Event[4].Page[0].list.command[12],____TEXT____,
Map.Event[4].Page[0].list.command[13].textData,You are missing a \c[2]Light blue vial\c[0]!,
Map.Event[4].Page[0].list.command[14],____TEXT____,
Map.Event[4].Page[0].list.command[15].textData,It must have been stolen!,
Map.Event[4].Page[0].list.command[21],____TEXT____,
Map.Event[4].Page[0].list.command[22].textData,You are missing a \c[2]Blue vial\c[0]!,
Map.Event[4].Page[0].list.command[23],____TEXT____,
Map.Event[4].Page[0].list.command[24].textData,It must have been stolen!,
Map.Event[4].Page[0].list.command[30],____TEXT____,
Map.Event[4].Page[0].list.command[31].textData,You are missing some \c[2]Silver coins\c[0]!,
Map.Event[4].Page[0].list.command[32],____TEXT____,
Map.Event[4].Page[0].list.command[33].textData,They must have been stolen!,
Map.Event[4].Page[0].list.command[39],____TEXT____,
Map.Event[4].Page[0].list.command[40].textData,You are missing a \c[2]Bottle of whiskey\c[0]!,
Map.Event[4].Page[0].list.command[41],____TEXT____,
Map.Event[4].Page[0].list.command[42].textData,It must have been stolen!,
Map.Event[5].Page[0].list.command[7],____TEXT____,
Map.Event[5].Page[0].list.command[8].textData,The mercenary Cahara seems to have left your party without,
Map.Event[5].Page[0].list.command[9].textData,you noticing it.,
Map.Event[5].Page[0].list.command[12],____TEXT____,
Map.Event[5].Page[0].list.command[13].textData,You are missing a \c[2]Light blue vial\c[0]!,
Map.Event[5].Page[0].list.command[14],____TEXT____,
Map.Event[5].Page[0].list.command[15].textData,It must have been stolen!,
Map.Event[5].Page[0].list.command[21],____TEXT____,
Map.Event[5].Page[0].list.command[22].textData,You are missing a \c[2]Blue vial\c[0]!,
Map.Event[5].Page[0].list.command[23],____TEXT____,
Map.Event[5].Page[0].list.command[24].textData,It must have been stolen!,
Map.Event[5].Page[0].list.command[30],____TEXT____,
Map.Event[5].Page[0].list.command[31].textData,You are missing some \c[2]Silver coins\c[0]!,
Map.Event[5].Page[0].list.command[32],____TEXT____,
Map.Event[5].Page[0].list.command[33].textData,They must have been stolen!,
Map.Event[5].Page[0].list.command[39],____TEXT____,
Map.Event[5].Page[0].list.command[40].textData,You are missing a \c[2]Bottle of whiskey\c[0]!,
Map.Event[5].Page[0].list.command[41],____TEXT____,
Map.Event[5].Page[0].list.command[42].textData,It must have been stolen!,
Map.Event[7].Page[0].list.command[1],____TEXT____,
Map.Event[7].Page[0].list.command[2].textData,You could open the door with \c[2]Lockpicking\c[0].,
Map.Event[7].Page[0].list.command[3],___CHOICE___,
Map.Event[7].Page[0].list.command[3].textChoice[0],Use \c[2]Lockpicking\c[0],
Map.Event[7].Page[0].list.command[3].textChoice[1],Don't,
Map.Event[7].Page[0].list.command[22],____TEXT____,
Map.Event[7].Page[0].list.command[23].textData,The door is locked...,
Map.Event[7].Page[0].list.command[24],___CHOICE___,
Map.Event[7].Page[0].list.command[24].textChoice[0],Use \c[2]Cell keys F3\c[0],
Map.Event[7].Page[0].list.command[24].textChoice[1],Use \c[2]Red vial\c[0],
Map.Event[7].Page[0].list.command[24].textChoice[2],Leave,
Map.Event[7].Page[0].list.command[52],____TEXT____,
Map.Event[7].Page[0].list.command[53].textData,The door is locked...,
Map.Event[7].Page[0].list.command[54],___CHOICE___,
